,clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
182,0,9340,9335,10000,0,0,0,0,-1,1,1,1,0,0,-1,1,-5
183,0,9340,9335,10000,0,0,0,0,-1,1,0,0,-2,2,0,0,-5
184,0,9338,9334,10000,-2,2,-2,2,-3,3,-1,1,-1,1,-1,1,-4
185,0,9340,9335,10000,2,2,-1,1,-1,1,1,1,1,1,0,0,-5
186,0,9340,9336,10000,0,0,-1,1,0,0,1,1,2,2,-1,1,-4
187,0,9342,9335,10000,2,2,1,1,1,1,-1,1,0,0,0,0,-7
188,0,9341,9336,10000,-1,1,0,0,0,0,1,1,1,1,0,0,-5
189,0,9341,9336,10000,0,0,2,2,2,2,0,0,-1,1,-1,1,-5
190,0,9340,9336,10000,-1,1,0,0,1,1,0,0,2,2,-1,1,-4
191,0,9340,9336,10000,0,0,0,0,-2,2,0,0,1,1,0,0,-4
192,0,9340,9336,10000,0,0,0,0,1,1,0,0,1,1,0,0,-4
193,0,9341,9336,10000,1,1,3,3,1,1,0,0,2,2,1,1,-5
194,0,9341,9337,10000,0,0,1,1,0,0,1,1,2,2,1,1,-4
195,0,9341,9337,10000,0,0,1,1,0,0,0,0,1,1,1,1,-4
196,0,9340,9335,10000,-1,1,-2,2,-1,1,-2,2,0,0,-1,1,-5
197,0,9339,9334,10000,-1,1,-2,2,-2,2,-1,1,-2,2,0,0,-5
198,0,9341,9337,10000,2,2,0,0,1,1,3,3,1,1,0,0,-4
199,0,9341,9336,10000,0,0,1,1,1,1,-1,1,0,0,0,0,-5
200,0,9340,9334,10000,-1,1,0,0,0,0,-2,2,-2,2,-2,2,-6
201,0,9340,9334,10000,0,0,0,0,1,1,0,0,-2,2,-2,2,-6
202,0,9340,9337,10000,0,0,-1,1,1,1,3,3,1,1,1,1,-3
203,0,9341,9337,10000,1,1,0,0,2,2,0,0,0,0,1,1,-4
204,0,9340,9335,10000,-1,1,-1,1,-1,1,-2,2,-2,2,-1,1,-5
205,0,9341,9336,10000,1,1,1,1,1,1,1,1,1,1,0,0,-5
206,0,9340,9334,10000,-1,1,1,1,0,0,-2,2,0,0,-1,1,-6
207,0,9340,9334,10000,0,0,-1,1,0,0,0,0,-3,3,0,0,-6
208,0,9340,9335,10000,0,0,-1,1,0,0,1,1,-1,1,1,1,-5
209,0,9341,9336,10000,1,1,1,1,1,1,1,1,2,2,1,1,-5
210,0,9340,9337,10000,-1,1,0,0,0,0,1,1,3,3,0,0,-3
211,0,9340,9334,10000,0,0,0,0,1,1,-3,3,-3,3,-1,1,-6
212,0,9341,9336,10000,1,1,0,0,2,2,2,2,-1,1,2,2,-5
213,0,9341,9336,10000,0,0,1,1,1,1,0,0,1,1,1,1,-5
214,0,9341,9335,10000,0,0,0,0,1,1,-1,1,-1,1,0,0,-6
215,0,9341,9335,10000,0,0,1,1,0,0,0,0,1,1,-2,2,-6
216,0,9340,9338,10000,-1,1,0,0,1,1,3,3,4,4,3,3,-2
217,0,9340,9335,10000,0,0,0,0,1,1,-3,3,0,0,-1,1,-5
218,0,9339,9335,10000,-1,1,-2,2,-2,2,0,0,-1,1,-2,2,-4
219,0,9339,9335,10000,0,0,-1,1,-1,1,0,0,-2,2,-1,1,-4
220,0,9340,9337,10000,1,1,0,0,0,0,2,2,3,3,1,1,-3
221,0,9340,9336,10000,0,0,-1,1,0,0,-1,1,0,0,2,2,-4
222,0,9341,9334,10000,1,1,0,0,1,1,-2,2,-2,2,-1,1,-7
223,0,9341,9333,10000,0,0,0,0,1,1,-1,1,-2,2,-4,4,-8
224,0,9341,9337,10000,0,0,0,0,1,1,4,4,2,2,2,2,-4
225,0,9341,9337,10000,0,0,1,1,0,0,0,0,-1,1,3,3,-4
226,0,9340,9337,10000,-1,1,0,0,-1,1,0,0,2,2,3,3,-3
227,0,9340,9336,10000,0,0,1,1,-1,1,-1,1,1,1,1,1,-4
228,0,9340,9336,10000,0,0,1,1,-1,1,0,0,1,1,1,1,-4
229,0,9341,9335,10000,1,1,1,1,2,2,-1,1,-2,2,-2,2,-6
230,0,9340,9334,10000,-1,1,0,0,0,0,-1,1,-2,2,0,0,-6
231,0,9340,9334,10000,0,0,-1,1,0,0,0,0,0,0,-1,1,-6
232,0,9341,9337,10000,1,1,0,0,1,1,3,3,4,4,2,2,-4
233,0,9341,9337,10000,0,0,0,0,3,3,0,0,0,0,3,3,-4
234,0,9341,9335,10000,0,0,0,0,1,1,-2,2,-2,2,0,0,-6
235,0,9341,9336,10000,0,0,1,1,1,1,1,1,-1,1,0,0,-5
236,0,9341,9336,10000,0,0,1,1,-1,1,0,0,0,0,1,1,-5
237,0,9341,9336,10000,0,0,1,1,0,0,0,0,0,0,0,0,-5
238,0,9341,9335,10000,0,0,0,0,0,0,-1,1,0,0,-1,1,-6
239,0,9341,9337,10000,0,0,1,1,1,1,2,2,3,3,1,1,-4
240,0,9341,9336,10000,0,0,1,1,1,1,-1,1,2,2,0,0,-5
241,0,9342,9335,10000,1,1,1,1,2,2,-1,1,-2,2,-1,1,-7
242,0,9340,9335,10000,-2,2,-1,1,-1,1,0,0,-2,2,-1,1,-5
243,0,9340,9335,10000,0,0,-1,1,-1,1,0,0,0,0,-2,2,-5
244,0,9339,9335,10000,-1,1,-2,2,-2,2,0,0,-1,1,-2,2,-4
245,0,9341,9335,10000,2,2,0,0,1,1,0,0,-1,1,0,0,-6
246,0,9339,9335,10000,-2,2,-2,2,0,0,0,0,-1,1,1,1,-4
247,0,9340,9334,10000,1,1,-1,1,-1,1,-1,1,-1,1,-3,3,-6
248,0,9341,9337,10000,1,1,0,0,0,0,3,3,0,0,1,1,-4
249,0,9341,9337,10000,0,0,0,0,1,1,0,0,1,1,3,3,-4
250,0,9340,9335,10000,-1,1,-2,2,0,0,-2,2,0,0,1,1,-5
251,0,9340,9337,10000,0,0,0,0,0,0,2,2,2,2,0,0,-3
252,0,9340,9334,10000,0,0,0,0,-1,1,-3,3,-1,1,-3,3,-6
253,0,9340,9335,10000,0,0,1,1,0,0,1,1,0,0,0,0,-5
254,0,9340,9336,10000,0,0,-1,1,-1,1,1,1,1,1,0,0,-4
255,0,9340,9336,10000,0,0,1,1,0,0,0,0,1,1,2,2,-4
256,0,9341,9336,10000,1,1,1,1,1,1,0,0,2,2,2,2,-5
257,0,9340,9336,10000,-1,1,-1,1,0,0,0,0,-1,1,1,1,-4
258,0,9339,9335,10000,-1,1,-2,2,-2,2,-1,1,-2,2,-1,1,-4
259,0,9341,9333,10000,2,2,1,1,1,1,-2,2,-2,2,-4,4,-8
260,0,9339,9335,10000,-2,2,-1,1,-1,1,2,2,-2,2,1,1,-4
261,0,9339,9335,10000,0,0,-1,1,-2,2,0,0,1,1,-1,1,-4
262,0,9341,9336,10000,2,2,1,1,0,0,1,1,1,1,0,0,-5
263,0,9340,9337,10000,-1,1,0,0,-1,1,1,1,1,1,2,2,-3
264,0,9341,9335,10000,1,1,1,1,0,0,-2,2,-1,1,0,0,-6
265,0,9340,9335,10000,-1,1,-1,1,0,0,0,0,-1,1,-3,3,-5
266,0,9340,9335,10000,0,0,0,0,0,0,0,0,-1,1,0,0,-5
267,0,9340,9335,10000,0,0,1,1,1,1,0,0,0,0,0,0,-5
268,0,9340,9335,10000,0,0,-1,1,1,1,0,0,2,2,0,0,-5
269,0,9339,9336,10000,-1,1,0,0,-1,1,1,1,1,1,-1,1,-3
270,0,9340,9335,10000,1,1,1,1,0,0,-1,1,0,0,-1,1,-5
271,0,9339,9335,10000,-1,1,-2,2,-2,2,0,0,-1,1,1,1,-4
272,0,9341,9336,10000,2,2,1,1,0,0,1,1,-1,1,3,3,-5
273,0,9341,9336,10000,0,0,0,0,0,0,0,0,1,1,-1,1,-5
274,0,9339,9337,10000,-2,2,-1,1,-2,2,1,1,2,2,0,0,-2
275,0,9340,9337,10000,1,1,0,0,0,0,0,0,2,2,0,0,-3
276,0,9341,9335,10000,1,1,1,1,1,1,-2,2,0,0,-1,1,-6
277,0,9340,9333,10000,-1,1,0,0,0,0,-2,2,-2,2,-3,3,-7
278,0,9340,9335,10000,0,0,1,1,-1,1,2,2,-1,1,0,0,-5
279,0,9340,9335,10000,0,0,0,0,0,0,0,0,0,0,1,1,-5
280,0,9341,9338,10000,1,1,2,2,1,1,3,3,3,3,4,4,-3
281,0,9340,9336,10000,-1,1,-1,1,-1,1,-2,2,0,0,-1,1,-4
282,0,9340,9334,10000,0,0,-1,1,-1,1,-2,2,-2,2,-3,3,-6
283,0,9340,9335,10000,0,0,1,1,-1,1,1,1,-2,2,0,0,-5
284,0,9341,9336,10000,1,1,1,1,0,0,1,1,-1,1,0,0,-5
285,0,9341,9336,10000,0,0,0,0,0,0,0,0,1,1,0,0,-5
286,0,9340,9336,10000,-1,1,0,0,-1,1,0,0,3,3,0,0,-4
287,0,9341,9335,10000,1,1,1,1,0,0,-1,1,0,0,0,0,-6
288,0,9340,9336,10000,-1,1,0,0,-1,1,1,1,1,1,-1,1,-4
289,0,9340,9335,10000,0,0,-1,1,-1,1,-1,1,-3,3,-1,1,-5
290,0,9340,9335,10000,0,0,0,0,-2,2,0,0,-1,1,0,0,-5
291,0,9340,9335,10000,0,0,0,0,0,0,0,0,1,1,0,0,-5
292,0,9339,9337,10000,-1,1,-1,1,-1,1,2,2,2,2,2,2,-2
293,0,9341,9336,10000,2,2,0,0,2,2,-1,1,0,0,1,1,-5
294,0,9339,9335,10000,-2,2,-2,2,-2,2,-1,1,-1,1,0,0,-4
295,0,9340,9336,10000,1,1,0,0,1,1,1,1,0,0,1,1,-4
296,0,9340,9335,10000,0,0,-1,1,0,0,-1,1,0,0,1,1,-5
297,0,9340,9335,10000,0,0,0,0,-1,1,0,0,-1,1,-2,2,-5
298,0,9342,9336,10000,2,2,2,2,1,1,1,1,1,1,-1,1,-6
299,0,9341,9336,10000,-1,1,1,1,1,1,0,0,1,1,1,1,-5
300,0,9340,9336,10000,-1,1,0,0,0,0,0,0,1,1,-1,1,-4
301,0,9341,9338,10000,1,1,2,2,1,1,2,2,1,1,4,4,-3
302,0,9340,9335,10000,-1,1,-1,1,0,0,-3,3,-1,1,0,0,-5
