clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6422.0,9156.0,0.0,1.0,1.0,-1.0,1.0,-18.0,18.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2734.0
0,6422.0,9156.0,0.0,0.0,0.0,0.0,0.0,-16.0,16.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2734.0
0,6420.0,9154.0,0.0,-2.0,2.0,-2.0,2.0,-17.0,17.0,-2.0,2.0,-3.0,3.0,-10.0,10.0,2734.0
0,6420.0,9155.0,0.0,0.0,0.0,-3.0,3.0,-17.0,17.0,1.0,1.0,-1.0,1.0,-9.0,9.0,2735.0
0,6421.0,9153.0,0.0,1.0,1.0,-2.0,2.0,-13.0,13.0,-2.0,2.0,-3.0,3.0,-11.0,11.0,2732.0
0,6421.0,9153.0,0.0,0.0,0.0,-2.0,2.0,-14.0,14.0,0.0,0.0,-3.0,3.0,-11.0,11.0,2732.0
0,6419.0,9155.0,0.0,-2.0,2.0,-3.0,3.0,-16.0,16.0,2.0,2.0,-1.0,1.0,-9.0,9.0,2736.0
0,6420.0,9154.0,0.0,1.0,1.0,-1.0,1.0,-16.0,16.0,-1.0,1.0,-2.0,2.0,-9.0,9.0,2734.0
0,6419.0,9153.0,0.0,-1.0,1.0,-2.0,2.0,-14.0,14.0,-1.0,1.0,-3.0,3.0,-10.0,10.0,2734.0
0,6418.0,9153.0,0.0,-1.0,1.0,-4.0,4.0,-16.0,16.0,0.0,0.0,-3.0,3.0,-10.0,10.0,2735.0
0,6418.0,9153.0,0.0,0.0,0.0,-4.0,4.0,-17.0,17.0,0.0,0.0,-3.0,3.0,-9.0,9.0,2735.0
0,6418.0,9153.0,0.0,0.0,0.0,-2.0,2.0,-15.0,15.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2735.0
0,6418.0,9155.0,0.0,0.0,0.0,-2.0,2.0,-15.0,15.0,2.0,2.0,0.0,0.0,-7.0,7.0,2737.0
0,6418.0,9153.0,0.0,0.0,0.0,-3.0,3.0,-14.0,14.0,-2.0,2.0,0.0,0.0,-9.0,9.0,2735.0
0,6417.0,9154.0,0.0,-1.0,1.0,-4.0,4.0,-16.0,16.0,1.0,1.0,1.0,1.0,-7.0,7.0,2737.0
0,6416.0,9153.0,0.0,-1.0,1.0,-3.0,3.0,-16.0,16.0,-1.0,1.0,-2.0,2.0,-9.0,9.0,2737.0
0,6418.0,9153.0,0.0,2.0,2.0,-2.0,2.0,-12.0,12.0,0.0,0.0,-1.0,1.0,-8.0,8.0,2735.0
0,6418.0,9153.0,0.0,0.0,0.0,-1.0,1.0,-14.0,14.0,0.0,0.0,0.0,0.0,-9.0,9.0,2735.0
0,6416.0,9153.0,0.0,-2.0,2.0,-2.0,2.0,-16.0,16.0,0.0,0.0,0.0,0.0,-9.0,9.0,2737.0
0,6416.0,9152.0,0.0,0.0,0.0,-2.0,2.0,-16.0,16.0,-1.0,1.0,-1.0,1.0,-9.0,9.0,2736.0
0,6416.0,9151.0,0.0,0.0,0.0,-2.0,2.0,-14.0,14.0,-1.0,1.0,-2.0,2.0,-9.0,9.0,2735.0
0,6416.0,9152.0,0.0,0.0,0.0,-2.0,2.0,-13.0,13.0,1.0,1.0,-3.0,3.0,-9.0,9.0,2736.0
0,6415.0,9153.0,0.0,-1.0,1.0,-3.0,3.0,-14.0,14.0,1.0,1.0,0.0,0.0,-6.0,6.0,2738.0
0,6415.0,9153.0,0.0,0.0,0.0,-2.0,2.0,-14.0,14.0,0.0,0.0,-1.0,1.0,-8.0,8.0,2738.0
0,6414.0,9153.0,0.0,-1.0,1.0,-2.0,2.0,-15.0,15.0,0.0,0.0,0.0,0.0,-8.0,8.0,2739.0
0,6414.0,9151.0,0.0,0.0,0.0,-4.0,4.0,-15.0,15.0,-2.0,2.0,-2.0,2.0,-6.0,6.0,2737.0
0,6415.0,9152.0,0.0,1.0,1.0,-3.0,3.0,-13.0,13.0,1.0,1.0,-1.0,1.0,-7.0,7.0,2737.0
0,6414.0,9152.0,0.0,-1.0,1.0,-2.0,2.0,-14.0,14.0,0.0,0.0,-1.0,1.0,-5.0,5.0,2738.0
